unique,name,model,price,favorite,likes,summary,horsepower,max_speed,acceleration_secs,drive,body,image1,image2,make_id
11,911 Carrera,Carrera Models,"$91,100.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",370,183,4.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2-modelimage-sideshot/thumbwhite/26cb2a99-970c-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2-editorial-l/normal/130a0d93-2b59-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
12,911 Carrera S,Carrera Models,"$105,100.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",420,191,4.1,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2s-modelimage-sideshot/thumbwhite/2e8c689c-970c-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c4s-gallery-exterior-01/zoom2/5d20125d-3c31-11e5-8c35-0019999cd470;sP/porsche-zoom2.jpg,1
13,911 Carrera Cabriolet,Carrera Models,"$103,400.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",370,181,4.6,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2cab-modelimage-sideshot/thumbwhite/5f146e68-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c4s-gallery-interior-02/zoom2/d12a12b7-5dfc-11e5-b52e-0019999cd470;sP/porsche-zoom2.jpg,1
14,911 Carrera S Cabriolet,Carrera Models,"$117,400.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",420,190,4.3,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2scab-modelimage-sideshot/thumbwhite/cd4fe957-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c2-gallery-interior-02/zoom2/835054a3-36c7-11e5-8c35-0019999cd470;sR/porsche-zoom2.jpg,1
15,911 Carrera 4,Carrera Models,"$98,000.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",370,181,4.3,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4-modelimage-sideshot/thumbwhite/f12783bc-970c-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4-editorial-l/normal/a8535496-2b5a-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
16,911 Carrera 4S,Carrera Models,"$112,000.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",420,189,4,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4s-modelimage-sideshot/thumbwhite/b084a6ea-970b-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4s-editorial-l/normal/3d82b8a6-2b5c-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
17,911 Carrera 4 Cabriolet,Carrera Models,"$110,300.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",370,179,4.5,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4cab-modelimage-sideshot/thumbwhite/7b5278f4-970e-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c4cab-editorial-l/normal/c484f07e-2b5a-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
18,911 Carrera 4S Cabriolet,Carrera Models,"$124,300.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",420,188,4.2,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/992-c4scab-modelimage-sideshot/thumbwhite/c6ec382e-fc69-11e8-8373-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c4s-gallery-exterior-02/zoom2/796debdd-3c31-11e5-8c35-0019999cd470;sP/porsche-zoom2.jpg,1
19,911 Carrera T,Carrera T,"$102,100.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",370,182,4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-c2-t-modelimage-sideshot/thumbwhite/835bee25-b26b-11e7-b591-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-c2-t-editorial-l/normal/a3bf832c-aff1-11e7-b591-0019999cd470;sJ/porsche-normal.jpg,1
20,911 Targa 4,Targa 4 Models,"$110,300.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds. All-wheel drive is available for those wishing to drive their Porsche year-round in wintry climes. Best of all, this uncompromising sports car has razor-sharp handling and performance that stirs the soul.",370,179,4.5,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-ta4-modelimage-sideshot/thumbwhite/fb59344e-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-ta4-editorial-l/normal/979aae37-2b5d-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
21,911 Targa 4S,Targa 4 Models,"$124,300.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds. All-wheel drive is available for those wishing to drive their Porsche year-round in wintry climes. Best of all, this uncompromising sports car has razor-sharp handling and performance that stirs the soul.",420,188,4.2,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-ta4s-modelimage-sideshot/thumbwhite/19ad3d02-970d-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-ta4s-editorial-l/normal/68c98899-8fc8-11e6-9f1b-0019999cd470;sJ/porsche-normal.jpg,1
22,911 Carrera GTS,GTS Models,"$120,700.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",450,193,3.9,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-c2-gts-modelimage-sideshot/thumbwhite/e6ec97b8-c2a0-11e6-a122-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c2-gts-gallery-interior-45/zoom2/f0221235-c2d4-11e6-a122-0019999cd470;sP/porsche-zoom2.jpg,1
23,911 Carrera GTS Cabriolet,GTS Models,"$133,000.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",450,192,3.6,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-c2-gtscab-modelimage-sideshot/thumbwhite/7bc653bc-d8d6-11e6-a122-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c2-gts-gallery-interior-58/zoom2/2a550f09-c2d7-11e6-a122-0019999cd470;sR/porsche-zoom2.jpg,1
24,911 Carrera 4 GTS,GTS Models,"$127,600.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",450,192,3.9,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-c4-gts-modelimage-sideshot/thumbwhite/0b68640a-d8d7-11e6-a122-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-c2-gts-gallery-interior-49/zoom2/435aaa61-c2d5-11e6-a122-0019999cd470;sP/porsche-zoom2.jpg,1
25,911 Carrera 4 GTS Cabriolet,GTS Models,"$139,900.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",450,192,3.4,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-c4-gtscab-modelimage-sideshot/thumbwhite/2d8ad858-d8d7-11e6-a122-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-modelseries-911gts-intro-04/normal/8e356148-a999-11e7-b591-0019999cd470;;;;;;/porsche-normal.jpg,1
26,911 Targa 4 GTS,GTS Models,"$139,900.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds. All-wheel drive is available for those wishing to drive their Porsche year-round in wintry climes. Best of all, this uncompromising sports car has razor-sharp handling and performance that stirs the soul.",450,191,3.9,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/991-2nd-ta4-gts-modelimage-sideshot/thumbwhite/1728f3f6-c2a2-11e6-a122-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-ta4-gts-editorial-xl/normal/1d578ed7-2b5e-11e7-9f74-0019999cd470;/porsche-normal.jpg,1
27,911 Turbo,Turbo Models,"$161,800.00",FALSE,0,"For decades, the 911 Turbo has been the stuff of legends, and it remains so today. With a monstrous 540 hp on tap—make that 580 hp in the Turbo S and 607 hp in the limited Exclusive model—and a seven-speed dual-clutch automatic doing the shifting, Porsche’s all-wheel-drive supercar can hit 60 mph in less than three seconds. Take your pick of coupe or cabriolet; the styling is timelessly gorgeous, and its posh interior makes this road rocket a genuine pleasure to drive on any road, at any time.",540,198,2.9,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tu-modelimage-sideshot/thumbwhite/ad27bfcb-970c-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-tu-gallery-interior-04/zoom2/4eaae3d2-b7d7-11e7-b591-0019999cd470;sK/porsche-zoom2.jpg,1
28,911 Turbo S,Turbo Models,"$190,700.00",FALSE,0,"For decades, the 911 Turbo has been the stuff of legends, and it remains so today. With a monstrous 540 hp on tap—make that 580 hp in the Turbo S and 607 hp in the limited Exclusive model—and a seven-speed dual-clutch automatic doing the shifting, Porsche’s all-wheel-drive supercar can hit 60 mph in less than three seconds. Take your pick of coupe or cabriolet; the styling is timelessly gorgeous, and its posh interior makes this road rocket a genuine pleasure to drive on any road, at any time.",580,205,2.8,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tus-modelimage-sideshot/thumbwhite/d7774b1b-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tus-editorial-l/normal/1753d5b7-2b5f-11e7-9f74-0019999cd470;sH/porsche-normal.jpg,1
29,911 Turbo Cabriolet,Turbo Models,"$174,100.00",FALSE,0,"For decades, the 911 Turbo has been the stuff of legends, and it remains so today. With a monstrous 540 hp on tap—make that 580 hp in the Turbo S and 607 hp in the limited Exclusive model—and a seven-speed dual-clutch automatic doing the shifting, Porsche’s all-wheel-drive supercar can hit 60 mph in less than three seconds. Take your pick of coupe or cabriolet; the styling is timelessly gorgeous, and its posh interior makes this road rocket a genuine pleasure to drive on any road, at any time.",540,198,3,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tucab-modelimage-sideshot/thumbwhite/3d15bd20-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tucab-editorial-l/normal/e9731577-2b5e-11e7-9f74-0019999cd470;sH/porsche-normal.jpg,1
30,911 Turbo S Cabriolet,Turbo Models,"$203,000.00",FALSE,0,"For decades, the 911 Turbo has been the stuff of legends, and it remains so today. With a monstrous 540 hp on tap—make that 580 hp in the Turbo S and 607 hp in the limited Exclusive model—and a seven-speed dual-clutch automatic doing the shifting, Porsche’s all-wheel-drive supercar can hit 60 mph in less than three seconds. Take your pick of coupe or cabriolet; the styling is timelessly gorgeous, and its posh interior makes this road rocket a genuine pleasure to drive on any road, at any time.",580,205,2.8,AWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-991-2nd-tuscab-modelimage-sideshot/thumbwhite/5a984c7d-970c-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/991-2nd-tus-gallery-interior-05/zoom2/23e27c7a-7349-11e5-b99f-0019999cd470;sK/porsche-zoom2.jpg,1
